date,reference,description,accountCode,debit,credit,narration
2026-03-17,JV-017,Inventory purchase EXP-000003 (credit),2000,0,11000,"Payable for inventory purchase EXP-000003"
2026-03-18,JV-018,Inventory purchase EXP-000004 (credit),1300,21000,0,"Inventory addition – 30 Slim Fit Jeans @ 700"
2026-03-18,JV-018,Inventory purchase EXP-000004 (credit),2000,0,21000,"Payable for inventory purchase EXP-000004"
2026-03-19,JV-019,Expense EXP-000005 – utilities,5300,8000,0,"Electricity and utilities for March EXP-000005"
2026-03-19,JV-019,Expense EXP-000005 – utilities,1002,0,8000,"Bank paid for utilities EXP-000005"
2026-03-20,JV-020,Expense EXP-000006 – advertising,5400,12000,0,"Digital ads campaign EXP-000006"
2026-03-20,JV-020,Expense EXP-000006 – advertising,2000,0,12000,"Payable for advertising EXP-000006"
2026-03-21,JV-021,Inventory purchase EXP-000007 (cash with GST ITC),1300,15000,0,"Inventory addition – mixed stock EXP-000007"
2026-03-21,JV-021,Inventory purchase EXP-000007 (cash with GST ITC),1500,1800,0,"GST input credit on inventory EXP-000007"
2026-03-21,JV-021,Inventory purchase EXP-000007 (cash with GST ITC),1001,0,16800,"Cash paid for inventory purchase EXP-000007"
2026-03-22,JV-022,Expense EXP-000008 – consulting (with GST ITC),5100,10000,0,"Consulting fees EXP-000008"
2026-03-22,JV-022,Expense EXP-000008 – consulting (with GST ITC),1500,1800,0,"GST input credit on consulting EXP-000008"
2026-03-22,JV-022,Expense EXP-000008 – consulting (with GST ITC),1002,0,11800,"Bank paid for consulting EXP-000008"
2026-03-23,JV-023,Expense EXP-000009 – photo shoot,5100,9000,0,"Professional fees for product photo shoot EXP-000009"
2026-03-23,JV-023,Expense EXP-000009 – photo shoot,1002,0,9000,"Bank paid for photo shoot EXP-000009"
2026-03-24,JV-024,Expense EXP-000010 – content creation,5100,7000,0,"Content creation for social media EXP-000010"
2026-03-24,JV-024,Expense EXP-000010 – content creation,2000,0,7000,"Payable for content creation EXP-000010"
